frame,timestamp_s,label,x1,y1,x2,y2,conf
0,0.000,None,3,144,115,320,0.905
1,0.000,None,298,136,319,319,0.532
2,0.000,chair,175,263,212,319,0.510
3,0.000,None,294,137,320,319,0.431
4,0.133,None,3,144,115,320,0.905
5,0.133,None,297,136,319,319,0.529
6,0.133,chair,175,263,212,319,0.492
7,0.133,None,294,137,320,319,0.463
8,0.267,None,3,144,115,320,0.903
9,0.267,None,297,136,319,319,0.540
10,0.267,chair,174,262,212,319,0.496
11,0.267,None,294,137,320,319,0.405
12,0.400,None,3,144,115,320,0.906
13,0.400,None,297,136,319,319,0.547
14,0.400,chair,174,262,212,319,0.486
15,0.400,None,294,137,320,319,0.449
16,0.533,None,3,144,114,320,0.905
17,0.533,None,298,136,319,319,0.546
18,0.533,chair,174,262,212,319,0.516
19,0.533,None,294,137,320,319,0.477
20,0.667,None,3,144,114,320,0.905
21,0.667,None,297,136,319,319,0.513
22,0.667,None,293,137,320,319,0.504
23,0.667,chair,174,262,211,319,0.500
24,0.800,None,3,143,114,320,0.905
25,0.800,None,293,137,320,319,0.527
26,0.800,chair,174,262,211,319,0.524
27,0.800,None,296,136,319,319,0.513
28,0.933,None,3,143,113,320,0.906
29,0.933,None,292,137,320,319,0.522
30,0.933,None,296,136,319,319,0.519
31,0.933,chair,174,262,211,319,0.493
32,1.067,None,3,143,113,320,0.906
33,1.067,None,292,137,320,319,0.529
34,1.067,None,296,136,319,319,0.510
35,1.067,chair,174,262,211,319,0.509
36,1.200,None,2,143,113,320,0.906
37,1.200,None,293,137,320,319,0.535
38,1.200,None,296,136,319,319,0.532
39,1.200,chair,163,262,211,319,0.447
40,1.200,chair,173,263,211,319,0.443
41,1.367,None,2,143,113,320,0.911
42,1.367,None,293,137,320,319,0.544
43,1.367,None,296,136,319,319,0.532
44,1.367,chair,171,263,211,319,0.480
45,1.367,chair,164,262,210,319,0.464
46,1.533,None,2,143,112,320,0.913
47,1.533,None,293,137,320,319,0.544
48,1.533,None,296,136,319,319,0.532
49,1.533,chair,171,263,211,319,0.487
50,1.533,chair,164,263,210,319,0.457
51,1.700,None,3,143,112,320,0.913
52,1.700,None,296,135,319,319,0.537
53,1.700,None,293,137,320,319,0.537
54,1.700,chair,170,263,211,319,0.490
55,1.700,chair,163,262,211,319,0.464
56,1.867,None,3,143,112,320,0.913
57,1.867,None,292,136,320,319,0.547
58,1.867,None,295,135,319,319,0.539
59,1.867,chair,167,263,211,319,0.511
60,1.867,chair,163,263,211,319,0.476
61,2.033,None,3,143,112,320,0.914
62,2.033,None,293,136,320,319,0.550
63,2.033,None,296,135,319,320,0.533
64,2.033,chair,163,263,211,319,0.499
65,2.033,chair,170,263,211,319,0.472
66,2.200,None,3,142,112,320,0.914
67,2.200,None,293,136,320,319,0.551
68,2.200,None,296,135,319,320,0.534
69,2.200,chair,162,262,211,319,0.499
70,2.333,None,3,141,112,320,0.914
71,2.333,None,292,136,320,319,0.551
72,2.333,None,295,135,319,320,0.530
73,2.333,chair,162,262,211,319,0.521
74,2.467,None,3,141,112,320,0.914
75,2.467,chair,164,262,211,319,0.593
76,2.467,None,292,136,320,319,0.547
77,2.467,None,295,135,319,320,0.525
78,2.600,None,2,141,111,320,0.911
79,2.600,chair,165,263,211,319,0.593
80,2.600,None,292,136,320,319,0.536
81,2.600,None,295,135,319,320,0.527
82,2.733,None,3,140,110,320,0.909
83,2.733,chair,165,263,211,319,0.604
84,2.733,None,292,136,320,319,0.547
85,2.733,None,295,135,319,320,0.521
86,2.733,chair,266,261,302,319,0.366
87,2.900,None,3,140,110,320,0.907
88,2.900,chair,165,263,211,319,0.602
89,2.900,None,292,136,320,319,0.541
90,2.900,None,295,135,319,320,0.522
91,2.900,chair,266,261,303,319,0.368
92,3.067,None,3,138,109,320,0.907
93,3.067,chair,166,263,211,319,0.588
94,3.067,None,292,137,320,319,0.545
95,3.067,None,294,136,319,320,0.509
96,3.067,chair,266,261,303,319,0.363
97,3.233,None,3,136,108,320,0.907
98,3.233,chair,166,263,211,319,0.584
99,3.233,None,292,136,320,319,0.543
100,3.233,None,294,135,319,320,0.523
101,3.367,None,3,136,107,320,0.910
102,3.367,chair,165,263,211,319,0.603
103,3.367,None,294,135,319,319,0.549
104,3.367,None,292,136,320,319,0.548
105,3.500,None,3,135,107,320,0.904
106,3.500,chair,164,263,211,319,0.625
107,3.500,None,292,137,320,319,0.557
108,3.500,None,294,136,319,319,0.545
109,3.500,chair,266,261,303,319,0.350
110,3.667,None,3,133,105,320,0.905
111,3.667,chair,164,263,211,319,0.641
112,3.667,None,294,135,319,319,0.554
113,3.667,None,292,136,320,319,0.549
114,3.800,None,2,133,103,320,0.906
115,3.800,chair,164,263,212,319,0.660
116,3.800,None,294,135,319,320,0.556
117,3.800,None,292,136,320,319,0.542
118,3.933,None,2,133,102,319,0.921
119,3.933,chair,163,263,212,319,0.657
120,3.933,None,294,135,319,320,0.560
121,3.933,None,292,136,320,319,0.539
122,4.067,None,2,133,101,319,0.919
123,4.067,chair,163,263,212,319,0.637
124,4.067,None,294,135,319,319,0.566
125,4.067,None,292,136,320,319,0.538
126,4.200,None,1,132,100,319,0.918
127,4.200,chair,163,263,211,319,0.646
128,4.200,None,295,135,319,319,0.576
129,4.200,None,292,136,320,319,0.543
130,4.333,None,0,130,100,319,0.924
131,4.333,chair,163,263,211,319,0.641
132,4.333,None,295,135,319,319,0.560
133,4.333,None,292,136,320,319,0.555
134,4.467,None,0,130,99,319,0.928
135,4.467,chair,163,263,211,319,0.617
136,4.467,None,294,135,319,319,0.561
137,4.467,None,292,136,320,319,0.561
138,4.600,None,0,129,98,319,0.933
139,4.600,chair,163,263,211,319,0.639
140,4.600,None,294,135,319,320,0.558
141,4.600,None,292,136,320,319,0.555
142,4.733,None,0,128,98,319,0.929
143,4.733,chair,163,263,211,319,0.643
144,4.733,None,295,135,319,319,0.562
145,4.733,None,292,137,320,319,0.545
146,4.867,None,0,127,98,319,0.930
147,4.867,chair,164,263,211,319,0.630
148,4.867,None,294,135,319,319,0.564
149,4.867,None,292,137,320,319,0.547
150,5.000,None,0,126,98,319,0.931
151,5.000,chair,164,263,211,319,0.632
152,5.000,None,294,135,319,319,0.567
153,5.000,None,292,137,320,319,0.538
154,5.133,None,0,126,98,319,0.918
155,5.133,chair,165,263,211,319,0.602
156,5.133,None,294,135,319,319,0.565
157,5.133,None,292,136,320,319,0.528
158,5.267,None,0,126,97,319,0.914
159,5.267,None,294,135,319,319,0.561
160,5.267,chair,167,263,211,319,0.547
161,5.267,None,292,136,320,319,0.541
162,5.400,None,0,124,97,319,0.919
163,5.400,chair,165,263,211,319,0.599
164,5.400,None,294,136,319,319,0.565
165,5.400,None,292,137,320,319,0.543
166,5.533,None,0,124,97,319,0.925
167,5.533,chair,165,263,212,319,0.620
168,5.533,None,295,135,319,319,0.573
169,5.533,None,293,137,320,319,0.541
170,5.667,None,0,124,97,319,0.923
171,5.667,chair,165,263,212,319,0.599
172,5.667,None,295,135,319,319,0.555
173,5.667,None,293,137,320,319,0.550
174,5.800,None,0,123,97,319,0.921
175,5.800,chair,165,263,212,319,0.617
176,5.800,None,295,135,319,320,0.561
177,5.800,None,293,137,320,319,0.546
178,5.933,None,0,123,97,319,0.927
179,5.933,chair,165,263,212,319,0.614
180,5.933,None,295,135,319,320,0.543
181,5.933,None,292,137,320,319,0.541
182,6.067,None,0,122,96,319,0.924
183,6.067,chair,165,263,212,319,0.608
184,6.067,None,295,135,319,320,0.548
185,6.067,None,292,137,320,319,0.533
186,6.200,None,0,122,96,319,0.927
187,6.200,chair,165,263,212,319,0.623
188,6.200,None,294,135,319,319,0.545
189,6.200,None,292,137,320,319,0.531
190,6.333,None,0,122,96,319,0.928
191,6.333,chair,165,263,212,319,0.612
192,6.333,None,295,135,319,320,0.552
193,6.333,None,292,136,320,319,0.529
194,6.467,None,0,122,95,319,0.928
195,6.467,chair,165,263,211,319,0.586
196,6.467,None,295,135,319,319,0.553
197,6.467,None,292,136,320,319,0.524
198,6.600,None,0,122,95,319,0.926
199,6.600,chair,165,263,212,319,0.594
200,6.600,None,295,135,319,319,0.560
201,6.600,None,292,136,320,319,0.522
202,6.733,None,0,121,94,319,0.929
203,6.733,chair,165,263,212,319,0.591
204,6.733,None,295,135,319,320,0.552
205,6.733,None,292,136,320,319,0.533
206,6.867,None,0,121,94,319,0.928
207,6.867,chair,165,263,212,319,0.596
208,6.867,None,295,135,319,320,0.559
209,6.867,None,292,136,320,319,0.533
210,7.000,None,0,120,93,319,0.923
211,7.000,chair,165,263,212,319,0.591
212,7.000,None,295,135,319,319,0.552
213,7.000,None,292,136,320,319,0.527
214,7.133,None,0,118,93,319,0.920
